"Actions","การกระทำ"
"Are you sure?","คุณแน่ใจ?"
"Date Added","วันที่เพิ่ม"
"Error while marking as read. Please try again later.","ผิดพลาดทำเครื่องหมายขณะอ่าน. กรุณาลองใหม่อีกครั้งภายหลัง."
"Error while marking. Please try again later.","ผิดพลาดขณะทำเครื่องหมาย. กรุณาลองใหม่อีกครั้งภายหลัง."
"Error while removing. Please try again later.","ผิดพลาดขณะลบ. กรุณาลองใหม่อีกครั้งภายหลัง."
"Last update","ปรับปรุงล่าสุด"
"Mark as Read","ทำเครื่องหมายว่าอ่านแล้ว"
"Mark as read","ทำเครื่องหมายว่าอ่านแล้ว"
"Message","ข้อความ"
"Message was successfully marked as read","ข้อความทำเครื่องหมายอ่านแล้วเรียบร้อย"
"Message was successfully removed","ลบข้อความแล้ว"
"Messages Inbox","ข้อความในกล่อง"
"Notifications","การแจ้งข่าวสาร"
"Please select messages","กรุณาเลือกข้อความ"
"Read Details","อ่านรายละเอียด"
"Remove","ลบ"
"Severity","การตรวจสอบ"
"Show List","แสดงรายการ"
"Show Toolbar","แสดงแถบเครื่องมือ"
"Total of %d record(s) were successfully marked as read","บันทึกทั้งหมดของ %d  ทำเครื่องหมายอ่านแล้วเรีบยร้อย"
"Total of %d record(s) were successfully removed","บันทึกทั้งหมดของ %d ถูกลบแล้ว"
"Unable to proceed. Please, try again","ไม่สามาถดำเนินการต่อไป. กรุณา,ลองอีกครั้ง"
"Update frequency","ปรับปรุงความถี่การใช้งาน"
"Use HTTPS to get feed","ใช้ HTTPS เพื่อรับ feed"
"critical","การวิจารณ์"
"major","major"
"minor","minor"
"notice","notice"
