"Action","การกระทำ"
"Backup file ""%s"" can\'t read or write","ไฟล์สำรอง ""%s"" ไม่สามารถอ่านหรือเขียน"
"Backup file ""%s"" doesn\'t exist","ไฟล์สำรอง ""%s"" ไม่มีอยู่"
"Backup file doesn't exist","ไฟล์สำรองไม่มีอยู่"
"Backup file handler don\'t specify","ไม่ระบุผู้ดูแลไฟล์สำรอง"
"Backup file path don\'t specify","ไม่ระบุ path ไฟล์สำรอง "
"Backups","สำรองข้อมูล"
"Cannot read backup file","ไม่สามารถอ่านไฟล์สำรองข้อมูล"
"Create Backup","สร้างการสำรองข้อมูล"
"DB","DB"
"Database was successfuly backed up.","สำรองฐานข้อมูลเรียบร้อยแล้ว."
"Download","ดาวน์โหลด"
"Error write to Backup file ""%s""","ข้อผิดพลาดในการเขียนไฟล์สำรอง ""%s"""
"File compressed with Zlib, but this extension is not installed on server","ไฟล์ถูกบีบอัดด้วย Zlib, แต่ extension นี้ไม่ได้ติดตั้งบน เซิร์ฟเวอร์"
"Size, byte","ขนาด, byte"
"Time","เวลา"
"Type","ประเภท"
"Unable to create backup. Please, try again later.","ไม่สามารถสร้างไฟล์สำรอง. กรุณาลองใหม่อีกครั้งภายหลัง."
"Wrong order of creation for new backup","คำสั่งการสร้างผิดสำหรับการสำรองข้อมูลใหม่"
