"Add New Row","เพิ่มแถวใหม่"
"An error occurred while saving the file(s).","เกิดข้อผิดพลาดขณะบันทึกไฟล์ฺ์."
"Availability: In stock.","มีอยู่: ในคลังสินค้า."
"Availability: Out of stock.","มีอยู่:หมดคลังสินค้า."
"Back","กลับ"
"Can\'t connect to remote host, error: %s","ไม่สามารถเชื่อมต่อไปยังรีโมทโฮส: ข้อผิดพลาด %s"
"Canceled","ถูกยกเลิก"
"Date","วันที่"
"Default Link Title","ชื่อลิงค์เริ่ิมต้น"
"Default Maximum Number of Downloads","ค่าเริ่มตั้นจำนวนของการดาวน์โหลดสูงสุด"
"Default Sample Title","ตัวอย่างหัวข้อเริ่มต้น"
"Disable Guest Checkout if cart contains downloadable items","ปิดการ Checkout ของลูกค้า ถ้าจำกัดรายการดาวน์โหลดในรถเข็น"
"Downloadable Information","ข้อมูลดาวน์โหลด"
"Downloadable Product","ดาวน์โหลดสินค้า"
"Downloadable Product Options","ตัวเลือกดาวน์โหลดสินค้า"
"Downloadable product Section","Section ดาวน์โหลดสินค้า"
"Excl. Tax","ยกเว้น. ภาษี"
"File","ไฟล์"
"File does not exists","ไม่มีไฟล์อยู่"
"From:","จาก:"
"Gift Message","Gift Message"
"Go to <a href=""%s"">My Downloadable Products</a>","ไปยัง <a href=""%s"">ดาวน์โหลดสินค้าของฉัน</a>"
"Guest checkout will only work with shareable","ลูกค้า checkout จะทำงานร่วมกับผู้ใช้ร่วมกันได้"
"Incl. Tax","รวม. ภาษี"
"Invalid download URL host","โฮส URL ดาวน์โหลดไม่ถูกต้อง"
"Invalid download URL scheme","รายการ URL ดาวน์โหลดไม่ถูกต้อง"
"Invalid download link type","ประเภทลิงค์ดาวน์โหลดไม่ถูกต้อง"
"Invoiced","ใบส่งของ"
"Link has expired.","ลิงก์ที่หมดอายุ."
"Link is not available.","ลิงค์ไม่สามารถใช้งานได้."
"Links can be purchased separately","ลิงก์ที่สามารถซื้อแยกต่างหาก"
"Max. Downloads","ดาวน์โหลดสูงสุด"
"Message:","ข้อความ:"
"My Downloadable Products","ดาวน์โหลดสินค้าของฉัน"
"Open Links in New Window","เปิดลิงก์ในหน้าต่างใหม่"
"Order #","รายการ #"
"Order Item Status to enable Downloads","สถานะรายการสั่งซื้อที่จะเปิดใช้งานดาวน์โหลด"
"Ordered","สั่งซื้อ"
"Pending","รอตรวจสอบ"
"Please log in to download your product.","โปรดเข้าสู่ระบบการดาวน์โหลดสินค้าของคุณ."
"Please set resource file and link type","กรุณาตั้งค่าไฟลที่มาและประเภทของลิงก์"
"Please specify product link(s).","กรุณาระบุลิงค์สินค้า."
"Price","ราคา"
"Refunded","คืน"
"Remaining Downloads","ดาวน์โหลดที่เหลืออยู่"
"Remove item","ลบรายการ"
"Requested link doesn't exist.","ลิงค์ที่ต้องการไม่มีอยู่."
"Sample","ตัวอย่าง"
"Shareable","ใช้ร่วมกัน"
"Shipped","ส่ง"
"Sorry, the was an error getting requested content. Please contact store owner.","ขออภัยเกิดข้อผิดพลาดที่ได้รับการร้องขอเนื้อหา. โปรดติดต่อเจ้าของร้านค้า."
"Sorry, there was an error getting requested content","ขออภัยเกิดข้อผิดพลาดที่ได้รับการร้องขอเนื้อหา"
"Sorry, there was an error getting requested content. Please contact store owner.","ขออภัยเกิดข้อผิดพลาดได้รับการร้องขอเนื้อหา. โปรดติดต่อเจ้าของร้าน."
"Sort Order","จัดเรียงรายการ"
"Start Download","เริ่มดาวน์โหลด"
"Status","สถานะ"
"Title","หัวข้อ"
"To:","ถึง:"
"U","U"
"Unlimited","ไม่จำกัด"
"View Order","ดูข้อมูลการสั่งซื้อ"
"You have not purchased any downloadable products yet.","คุณไม่ได้ซื้อผลิตภัณฑ์ใดๆที่ดาวน์โหลดยัง."
"attachment","เอกสารแนบ"
"download","ดาวน์โหลด"
"inline","อินไลน์"
"sample","ตัวอย่าง"
