"%s is not supported currency.","%s ไม่ได้รับการสนับสนุนสกุลเงิน."
"Accept","ยอมรับ"
"Basic","พื้นฐาน"
"Cannot retreive rate from strikeirion.","ไม่สามารถเรียกอัตราจาก strikeirion."
"Cannot retrieve rate from %s to %s","ไม่สามารถเรียกอัตราจาก %s ไปยัง %s"
"Check all email servers","ตรวจสอบอีเมลทั้งหมดของเซิร์ฟเวอร์"
"Complete","เสร็จสมบูรณ์"
"Country/Region/Postal code combination","ประเทศ / จังหวัด / รหัสไปรษณีย์รวมกัน"
"Customer Tax Class","Class ภาษีลูกค้าี"
"Email Verification","การยืนยันอีเมล"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","ไม่สามารถยืนยันที่อยู่อีเมลล์. โปรดตรวจสอบอีกครั้งและตรวจสอบให้แน่ใจว่าป้อนที่อยู่อีเมลของคุณอย่างถูกต้อง."
"Enable US address verification","เปิดใช้งานการยืนยันที่อยู่ US"
"Enable email verification","เปิดใช้การยืนยันอีเมลล์"
"Enable foreign exchange rate","เปิดใช้งานอัตราแลกเปลี่ยนต่างประเทศ"
"Enable global address verification","เปิดใช้งานการยืนยันที่อยู่ทั่วไป"
"Enable sales and use tax","เปิดใช้งานการขายและใช้ภาษี"
"Error Email Recipient","ข้อผิดพลาดอีเมล์ผู้รับ"
"Error Email Sender","ข้อผิดพลาดอีเมล์ส่ง"
"Error Email Template","เกิดข้อผิดพลาดในอีเมลล์เทมเพลต"
"Error address action","เกิดข้อผิดพลาดกับการกระทำที่อยู่"
"Foreign Exchange Rates","อัตราแลกเปลี่ยนเงินตราต่างประเทศ"
"Global Address Verification","ยืนยันที่อยู่ทั่วไป"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate."
"Invalid email address","อีเมลล์ไม่ถูกต้อง"
"Maximum tax rate","อัตราภาษีสูงสุด"
"Minimum tax rate","อัตราภาษขั้นต่ำี"
"Password","รหัสผ่าน"
"Pop up warning and accept","ป๊อปอัพเตือนและยอมรับ"
"Product Tax Class","Class ภาษสินค้าี"
"Reject","ปฏิเสธ"
"Sales and Use Tax","การขายและการใช้ภาษี"
"Sales and Use Tax Type","การขายและการใช้ประเภทภาษี"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Config"
"Strikeiron Section","Strikeiron Section"
"Strikeiron foreign exchange rate is disabled","Strikeiron อัตราแลกเปลี่ยนต่างประเทศถูกปิดการใช้งาน"
"Tax","ภาษี"
"There is an error in retrieving tax rate. Please contact us","มีข้อผิดพลาดในการเรียกอัตราภาษี. โปรดติดต่อเรา"
"There is an error in verifying an email. Please contact us.","มีข้อผิดพลาดในการยืนยันอีเมล์. โปรดติดต่อเรา."
"There is no more hits remaining for the foreign Exchange Rate Service.","ไม่มีบริการเพิ่มเติมสำหรับอัตราแลกเปลี่ยนต่างประเทศ."
"There is no response back from Strikeiron server","ไม่มีการตอบสนองจากเซิร์ฟเวอร์ Strikeiron"
"US Address Verification","ยืนยันที่อยู่ US"
"Undetermined email action","Undetermined email action"
"Use","ใช้"
"User ID","ใช้ ID"
"Verify address in admin","ยืนยันที่อยู่ผู้ดูแลระบบ"
"Verify email in admin","ตรวจสอบอีเมลผู้ดูแลระบบ"
